id,メーカー,車種,ボディタイプ,駆動方式,価格(万円),排気量,年式,モデル,安全評価,燃費(km/L),燃料の種類,自動車税(円),乗車定員,中古相場(万円),サイズ(mm)
1,ホンダ,N-BOX,軽自動車,2WD,150,660,2024,カスタム,4,25.0,ガソリン,10800,4,120~150,3395×1475×1790
2,日産,エクストレイル,SUV,4WD,300,2000,2023,20X,5,16.7,ガソリン,39500,5,180~230,4690×1820×1740
3,スバル,フォレスター,SUV,4WD,350,1800,2024,Advance,5,19.2,ハイブリッド,39500,5,200~250,4640×1815×1715
4,マツダ,ロードスター,オープンカー,2WD,278,1500,2025,RS,4,14.6,ガソリン,34500,2,180~230,3915×1735×1245
5,レクサス,NX,SUV,4WD,550,2500,2024,300h,5,20.6,ハイブリッド,54000,5,350~450,4660×1865×1640
6,ダイハツ,タント,軽自動車,2WD,155,660,2023,カスタムX,4,21.0,ガソリン,10800,4,80~130,3395×1475×1755
7,三菱,アウトランダー,SUV,4WD,380,2400,2023,PHEV G,5,20.0,PHEV,39500,7,250~320,4710×1862×1748
8,スズキ,ジムニー,SUV,4WD,185,660,2023,XL,4,16.0,ガソリン,10800,4,150~180,3395×1475×1725
9,メルセデス・ベンツ,Cクラス,セダン,2WD,720,2000,2024,C200,5,15.0,ガソリン,45000,5,450~550,4751×1820×1440
10,BMW,3シリーズ,セダン,2WD,690,2000,2024,320i,5,15.4,ガソリン,45000,5,420~520,4710×1827×1445
11,アウディ,A4,セダン,4WD,570,2000,2024,40 TFSI,5,16.2,ガソリン,45000,5,350~450,4770×1847×1435
12,トヨタ,アルファード,ミニバン,4WD,450,2500,2023,Executive Lounge,5,12.8,ハイブリッド,54000,7,300~400,4945×1850×1950
13,ホンダ,シビック,ハッチバック,2WD,350,1500,2024,TYPE R,5,14.5,ガソリン,34500,5,220~280,4557×1877×1427
14,日産,ノート,ハッチバック,2WD,250,1200,2024,e-POWER X,5,30.0,ハイブリッド,34500,5,150~200,4045×1695×1520
15,スバル,インプレッサ,ハッチバック,4WD,280,1600,2023,スポーツ,5,16.0,ガソリン,34500,5,150~200,4460×1775×1480
16,マツダ,CX-5,SUV,4WD,320,2500,2023,25S,5,15.6,ガソリン,39500,5,180~250,4575×1845×1690
17,トヨタ,カローラ,セダン,2WD,210,1800,2024,ハイブリッドG,5,34.0,ハイブリッド,34500,5,150~200,4495×1745×1435
18,トヨタ,プリウス,ハッチバック,2WD,250,1800,2025,,5,32.6,ハイブリッド,34500,5,120~160,4600×1800×1450
19,ホンダ,ヴェゼル,SUV,2WD,280,1500,2024,,5,27.0,ハイブリッド,39500,5,180~230,4330×1790×1590
20,日産,セレナ,ミニバン,2WD,320,2000,2024,,5,18.0,ガソリン,39500,8,200~280,4685×1695×1870
21,スズキ,スペーシア,軽自動車,2WD,140,660,2024,,5,22.0,ハイブリッド,10800,4,90~140,3395×1475×1785
22,BMW,X3,SUV,4WD,680,2000,2024,,5,14.0,ガソリン,45000,5,400~600,4720×1890×1680
23,